Gene	Degree	Exp	Low	High	Sum	Avg
AT4G33950	6	8.07062	2.82421	83.6213	148.97011	24.8283516667
AT4G20730	6	0.424012	6.66074	38.095	99.39644	24.84911
AT1G63970	6	80.6737	2.69403	67.9388	151.50413	25.2506883333
AT1G28480	6	0.992192	3.52186	87.339	126.56315	25.31263
AT2G38280	6	15.411	3.76667	89.4802	111.62693	27.9067325
AT4G10840	6	41.2629	3.8495	65.9507	169.78415	28.2973583333
AT5G16830	6	13.2552	13.9616	50.7992	172.1037	28.68395
AT3G52750	6	25.9638	13.8256	45.3571	88.3343	29.4447666667
AT1G50420	6	2.82106	0.900146	84.0675	186.627336	31.104556
AT1G35160	6	62.7013	10.8957	65.646	191.4759	31.91265
AT5G28640	6	16.8915	1.52593	168.868	196.18933	32.6982216667
AT5G56630	6	10.4605	0.366351	121.18	196.470531	32.7450885
AT4G31430	6	9.44183	0.0937101	114.391	199.9764901	33.3294150167
AT3G56150	6	74.8742	16.5185	53.0424	216.5006	36.0834333333
AT1G10210	6	2.95569	2.98375	123.874	224.02935	37.338225
AT1G68670	6	13.4123	4.13212	94.0756	225.39749	37.5662483333
AT1G10840	6	53.0424	16.5185	74.8742	231.4978	38.5829666667
AT1G21980	6	4.69014	5.64682	113.254	240.76693	40.1278216667
AT4G24240	6	4.2409	2.58642	102.688	242.17226	40.3620433333
AT3G04860	6	1.79029	4.29064	166.659	242.19704	40.3661733333
AT1G60010	6	39.8567	1.66465	102.688	259.41339	43.235565
AT4G04620	6	5.5903	3.11614	111.785	260.00915	43.3348583333
AT4G32750	6	1.63441	5.50306	109.169	262.35628	43.7260466667
AT1G27700	6	4.33165	0.872886	238.346	271.863986	45.3106643333
AT4G35450	6	162.56	3.04682	99.5662	282.60162	47.10027
AT2G29490	6	1.38441	0.580777	199.177	240.028497	48.0056994
AT5G48170	6	0.994755	2.4632	119.988	192.8142	48.20355
AT4G18630	6	0.839759	4.685	123.874	291.5794	48.5965666667
AT5G10030	6	7.46887	0.22788	278.415	293.87412	48.97902
AT5G19080	6	3.01785	7.30933	172.255	250.51333	50.102666
AT2G37020	6	9.08162	1.94764	218.447	241.94169	60.4854225
AT2G38170	6	67.9774	0.445662	195.603	261.614422	65.4036055
AT2G21660	6	488.402	11.5466	257.795	300.8073	75.201825
AT5G47120	6	22.0809	20.6707	148.716	494.9333	82.4888833333
AT4G30260	6	23.0128	4.65093	311.967	513.70613	85.6176883333
AT5G52120	6	1.98864	59.9417	119.988	179.9297	89.96485
AT5G56890	6	11.9119	0.311605	278.415	540.089605	90.0149341667
AT3G61160	6	1.04491	0.311605	278.415	569.478005	94.9130008333
AT3G07560	6	34.4933	9.02629	323.165	383.84049	95.9601225
AT2G45770	6	29.6736	3.05285	244.436	590.58046	98.4300766667
AT3G20110	6	0.0391177	0.311605	278.415	598.800805	99.8001341667
AT3G50310	6	0.222585	0.311605	278.415	598.800805	99.8001341667
AT1G28390	6	1.2932	0.311605	278.415	598.800805	99.8001341667
AT2G48010	6	2.61225	0.311605	278.415	598.800805	99.8001341667
AT5G01890	6	4.73665	0.311605	278.415	598.800805	99.8001341667
AT3G23310	6	9.56587	0.311605	278.415	598.800805	99.8001341667
AT2G24540	6	7.06067	59.9417	278.415	745.619	124.2698333333
AT3G04460	6	6.1501	9.02629	323.165	512.12099	128.0302475
AT2G18710	6	36.8018	8.19113	244.436	557.10963	139.2774075
